year,year_index,geo,income_quintile,expense_category,coordinate,expense,log_expense,age_group,family_income_group,income,log_income,expense_to_income_ratio
2010,0,Province 11,Second quintile,Total expenditure,C1055,42882.0,4.632275,25 to 34 years,All income groups,29030.0,4.462847,1.47716156
2010,0,Province 11,Second quintile,Food purchased from stores,C1056,4360.0,3.639486,25 to 34 years,"Under $10,000",410.0,2.612784,10.63414634
2010,0,Province 11,Second quintile,Food purchased from restaurants,C1057,1434.0,3.156549,25 to 34 years,"$10,000 and over",28620.0,4.45667,0.05010482
2010,0,Province 11,Second quintile,Shelter,C1058,9977.0,3.999,25 to 34 years,"$15,000 and over",28310.0,4.45194,0.35241964
2010,0,Province 11,Second quintile,Principal accommodation,C1059,9350.0,3.970812,25 to 34 years,"$20,000 and over",27920.0,4.445915,0.33488539
2010,0,Province 11,Second quintile,Rented living quarters,C1060,3637.0,3.560743,25 to 34 years,"$25,000 and over",27450.0,4.438542,0.13249545
2010,0,Province 11,Second quintile,Owned living quarters,C1061,3202.0,3.505421,25 to 34 years,"$30,000 and over",26910.0,4.429914,0.11898922
2010,0,Province 11,Second quintile,"Water, fuel and electricity for principal accommodation",C1062,2511.0,3.399847,25 to 34 years,"$35,000 and over",26210.0,4.418467,0.09580313
2010,0,Province 11,Second quintile,Other accommodation,C1063,628.0,2.79796,25 to 34 years,"$40,000 and over",25350.0,4.403978,0.02477318
2010,0,Province 11,Second quintile,Household operations,C1064,2778.0,3.443732,25 to 34 years,"$45,000 and over",24290.0,4.385428,0.11436805
2010,0,Province 11,Second quintile,Communications,C1065,1473.0,3.168203,25 to 34 years,"$50,000 and over",23060.0,4.362859,0.06387684
2010,0,Province 11,Second quintile,Household furnishings and equipment,C1066,1178.0,3.071145,25 to 34 years,"$60,000 and over",20100.0,4.303196,0.05860697
2010,0,Province 11,Second quintile,Household furnishings,C1067,563.0,2.750508,25 to 34 years,"$70,000 and over",16590.0,4.219846,0.03393611
2010,0,Province 11,Second quintile,Household equipment,C1068,557.0,2.745855,25 to 34 years,"$75,000 and over",14740.0,4.168497,0.03778833
2010,0,Province 11,Second quintile,Household appliances,C1069,253.0,2.403121,25 to 34 years,"$80,000 and over",12830.0,4.108227,0.01971941
2010,0,Province 11,Second quintile,Clothing and accessories,C1070,2024.0,3.306211,25 to 34 years,"$90,000 and over",9320.0,3.969416,0.21716738
2010,0,Province 11,Second quintile,Transportation,C1071,7892.0,3.897187,25 to 34 years,Median total income,75550.0,4.878234,0.10446062
2010,0,Province 11,Third quintile,Total expenditure,C1072,60375.0,4.780857,35 to 44 years,All income groups,32980.0,4.518251,1.83065494
2010,0,Province 11,Third quintile,Food purchased from stores,C1073,4694.0,3.671543,35 to 44 years,"Under $10,000",380.0,2.579784,12.35263158
2010,0,Province 11,Third quintile,Food purchased from restaurants,C1074,2074.0,3.316809,35 to 44 years,"$10,000 and over",32600.0,4.513218,0.06361963
2010,0,Province 11,Third quintile,Shelter,C1075,12821.0,4.107922,35 to 44 years,"$15,000 and over",32410.0,4.510679,0.39558778
2010,0,Province 11,Third quintile,Principal accommodation,C1076,11651.0,4.066363,35 to 44 years,"$20,000 and over",32090.0,4.50637,0.36307261
2010,0,Province 11,Third quintile,Rented living quarters,C1077,2857.0,3.45591,35 to 44 years,"$25,000 and over",31790.0,4.502291,0.08987103
2010,0,Province 11,Third quintile,Owned living quarters,C1078,6064.0,3.782759,35 to 44 years,"$30,000 and over",31440.0,4.497483,0.19287532
2010,0,Province 11,Third quintile,"Water, fuel and electricity for principal accommodation",C1079,2730.0,3.436163,35 to 44 years,"$35,000 and over",31020.0,4.491642,0.08800774
2010,0,Province 11,Third quintile,Other accommodation,C1080,1169.0,3.067815,35 to 44 years,"$40,000 and over",30500.0,4.4843,0.03832787
2010,0,Province 11,Third quintile,Household operations,C1081,3549.0,3.550106,35 to 44 years,"$45,000 and over",29800.0,4.474216,0.11909396
2010,0,Province 11,Third quintile,Communications,C1082,1734.0,3.239049,35 to 44 years,"$50,000 and over",29020.0,4.462697,0.0597519
2010,0,Province 11,Third quintile,Household furnishings and equipment,C1083,1691.0,3.228144,35 to 44 years,"$60,000 and over",27040.0,4.432007,0.06253698
2010,0,Province 11,Third quintile,Household furnishings,C1084,709.0,2.850646,35 to 44 years,"$70,000 and over",24420.0,4.387746,0.02903358
2010,0,Province 11,Third quintile,Household equipment,C1085,881.0,2.944976,35 to 44 years,"$75,000 and over",22800.0,4.357935,0.03864035
2010,0,Province 11,Third quintile,Household appliances,C1086,465.0,2.667453,35 to 44 years,"$80,000 and over",21160.0,4.325516,0.02197543
2010,0,Province 11,Third quintile,Clothing and accessories,C1087,2800.0,3.447158,35 to 44 years,"$90,000 and over",17820.0,4.250908,0.15712682
2010,0,Province 11,Third quintile,Transportation,C1088,9690.0,3.986324,35 to 44 years,Median total income,93800.0,4.972203,0.1033049
2010,0,Province 11,Fourth quintile,Total expenditure,C1089,83543.0,4.92191,45 to 54 years,All income groups,39790.0,4.599774,2.09959789
2010,0,Province 11,Fourth quintile,Food purchased from stores,C1090,5766.0,3.760875,45 to 54 years,"Under $10,000",290.0,2.462398,19.88275862
2010,0,Province 11,Fourth quintile,Food purchased from restaurants,C1091,2484.0,3.395152,45 to 54 years,"$10,000 and over",39510.0,4.596707,0.06287016
2010,0,Province 11,Fourth quintile,Shelter,C1092,15139.0,4.180097,45 to 54 years,"$15,000 and over",39360.0,4.595055,0.38462907
2010,0,Province 11,Fourth quintile,Principal accommodation,C1093,14141.0,4.15048,45 to 54 years,"$20,000 and over",39100.0,4.592177,0.3616624
2010,0,Province 11,Fourth quintile,Rented living quarters,C1094,1286.0,3.109241,45 to 54 years,"$25,000 and over",38800.0,4.588832,0.03314433
2010,0,Province 11,Fourth quintile,Owned living quarters,C1095,9684.0,3.986055,45 to 54 years,"$30,000 and over",38440.0,4.584783,0.25192508
